disease,symptom_1,symptom_2,symptom_3,symptom_4
suy gan,đau bụng trên bên phải,buồn ngủ,vàng da,buồn nôn
quai bị,sưng mặt,đau nhức,mệt mỏi,chán ăn
vàng da,lòng bàn chân có màu vàng,vàng mắt,da tím tái,lòng bàn tay có màu vàng
thoái hóa đốt sống lưng,có tiếng khi xoay người,mất thăng bằng,yếu cơ,đau gáy
nấm da,ngứa,phát ban,nổi hạch,lang ben
trào ngược dạ dày,đau ngực,ho,đau dạ dày,ợ chua
viêm mũi dị ứng,nghẹt mũi,ngứa mũi,sổ mũi,chảy nước mắt
viêm loét dạ dày tá tràng,đau bụng,chán ăn,buồn nôn,đầy hơi
tiểu đường,giảm thị lực,sút cân,khô miệng,đi tiểu nhiều
viêm dạ dày,trương bụng,buồn nôn,tiêu chảy,táo bón
hen phế quản,đau ngực,ho có đờm,thở khò khè,rối loạn giấc ngủ
cao huyết áp,mất thăng bằng,khó thở,thiếu tập trung,chảy máu cam
sốt rét,ớn lạnh,tiêu chảy,mệt mỏi,đau cơ
thủy đậu,nổi mụt trên cơ thể,chán ăn,đau đầu,mệt mỏi
sốt xuất huyết,đau cơ,buồn nôn,phát ban,đau trong hốc mắt
viêm gan A hoặc viêm gan D,nước tiểu sẫm màu,ngứa,đau bụng,vàng mắt
lao,ho,sốt nhẹ,đổ mồ hôi ban đêm,khó thở
cảm lạnh,chảy nước mũi,nghẹt mũi,ho,đau đầu
viêm phổi,ho,sốt,đau ngực,khó thở
trĩ,đi đại tiện có máu,ngứa vùng hậu môn,đi đại tiện có máu,sưng vùng hậu môn
covid-19,đau đầu,khó thở,mệt mỏi,sốt
vảy nến,vảy bạc,phát ban,mụn mủ,sưng khớp
nhiễm trùng đường tiết niệu,tiểu rát,tiểu rát,nước tiểu sẫm màu,tiểu buốt
chóng mặt kịch phát lành tính,nhìn mờ,chóng mặt,đứng không vững,buồn nôn
viêm khớp,đau khi di chuyển,khó chịu,đau khớp,cứng khớp
hạ đường huyết,tim đập nhanh,buồn nôn,nói lắp,lo lắng
thoái hóa đốt sống cổ,cứng cổ,vận động vùng cổ gặp khó khăn,mất cảm giác tay,đau cơ
viêm tai giữa,sốt nhẹ,đau tai,đau đầu,chảy dịch từ tai
giãn tĩnh mạch,ngứa chân,mỏi tay chân,đau khi đi lại nhiều,tê chân
viêm da dị ứng,nứt nẻ,mụn mủ,khô da,ngứa
chốc,phát ban,sưng đỏ quanh mũi,mệt mỏi,mụn mủ
suy giáp,chán ăn,đau khớp,da khô,khàn giọng
cường giáp,tim đập nhanh,yếu cơ,sút cân,lo lắng
viêm gan do rượu,sút cân,buồn nôn,mệt mỏi,vàng mắt
viêm gan B,buồn nôn,vàng da,mệt mỏi,sốt
viêm gan C,nước tiểu sẫm màu,vàng da,đau cơ,sốt nhẹ
say nắng,buồn nôn,tim đập nhanh,đổ mồ hôi,chóng mặt
đau vai gáy,mỏi tay,tê tay,đau cổ,đau khi di chuyển
chàm,mẩn đỏ,ngứa,da khô,nổi mụt trên cơ thể
viêm nướu,nướu đỏ,có mủ màu trắng,chảy máu ở chân răng,đau khi nhai
sâu răng,đau răng,sưng nướu,hơi thở có mùi,đau khi nhai
ruột kích thích,rối loạn giấc ngủ,đau bụng,táo bón,cảm giác đi tiêu không hết phân
đau mắt đỏ,chảy nước mắt,đau mắt,sưng mắt,ngứa mắt
suy thận,đau lưng,phát ban,hơi thở có mùi,phù nề
thiếu máu lên não,mờ mắt,chóng mặt,đau lưng,mất ngủ
viêm kết mạc,hắt hơi,ngứa mắt,chảy nước mắt,sốt
tăng nhãn áp,đỏ mắt,đau mắt,mờ mắt,sợ ánh sáng
ngộ độc thực phẩm,buồn nôn,đau bụng,da tím tái,co giật
viêm xoang,nghẹt mũi,mất khứu giác,chảy nước mũi,đau răng hàm trên
bướu cổ,khàn giọng,sưng cổ,vướng ở cổ,khó nuốt
sỏi thận,nước tiểu có mùi hôi,buồn nôn,ớn lạnh,sốt
gout (gút),sưng khớp,khó cử động,đau khớp,đau khi di chuyển
thoát vị đĩa đệm,đau lan rộng,đau khi di chuyển,yếu cơ,mất cảm giác
viêm ống tai ngoài,ngứa tai,ù tai,đau tai,chảy dịch từ tai
herpes ở môi,sưng hạch bạch huyết,nổi mụt ở miệng,sốt,đau họng
thoái hóa khớp,có tiếng khi di chuyển,teo cơ,cứng khớp,sưng tấy
sùi mào gà,chảy máu khi quan hệ,ngứa bộ phận sinh dục,có mụt ở bộ phận sinh dục,nốt sùi ở bộ phận sinh dục
uốn ván,cứng hàm,khó nuốt,cứng khớp,đổ mồ hôi
viêm thanh quản,ho,đau họng,sốt nhẹ,mất giọng
rối loạn tuần hoàn não,mất ngủ,buồn nôn,mỏi tay chân,cáu gắt
suy gan,đau bụng trên bên phải,buồn ngủ,vàng da,buồn nôn
quai bị,sưng mặt,đau nhức,mệt mỏi,chán ăn
vàng da,lòng bàn chân có màu vàng,vàng mắt,da tím tái,lòng bàn tay có màu vàng
thoái hóa đốt sống lưng,có tiếng khi xoay người,mất thăng bằng,yếu cơ,đau gáy
nấm da,ngứa,phát ban,nổi hạch,lang ben
trào ngược dạ dày,đau ngực,ho,đau dạ dày,ợ chua
viêm mũi dị ứng,nghẹt mũi,ngứa mũi,sổ mũi,chảy nước mắt
viêm loét dạ dày tá tràng,đau bụng,chán ăn,buồn nôn,đầy hơi
tiểu đường,giảm thị lực,sút cân,khô miệng,đi tiểu nhiều
viêm dạ dày,trương bụng,buồn nôn,tiêu chảy,táo bón
hen phế quản,đau ngực,ho có đờm,thở khò khè,rối loạn giấc ngủ
cao huyết áp,mất thăng bằng,khó thở,thiếu tập trung,chảy máu cam
sốt rét,ớn lạnh,tiêu chảy,mệt mỏi,đau cơ
thủy đậu,nổi mụt trên cơ thể,chán ăn,đau đầu,mệt mỏi
sốt xuất huyết,đau cơ,buồn nôn,phát ban,đau trong hốc mắt
viêm gan A hoặc viêm gan D,nước tiểu sẫm màu,ngứa,đau bụng,vàng mắt
lao,ho,sốt nhẹ,đổ mồ hôi ban đêm,khó thở
cảm lạnh,chảy nước mũi,nghẹt mũi,ho,đau đầu
viêm phổi,ho,sốt,đau ngực,khó thở
trĩ,đi đại tiện có máu,ngứa vùng hậu môn,đi đại tiện có máu,sưng vùng hậu môn
covid-19,đau đầu,khó thở,mệt mỏi,sốt
vảy nến,vảy bạc,phát ban,mụn mủ,sưng khớp
nhiễm trùng đường tiết niệu,tiểu rát,tiểu rát,nước tiểu sẫm màu,tiểu buốt
chóng mặt kịch phát lành tính,nhìn mờ,chóng mặt,đứng không vững,buồn nôn
viêm khớp,đau khi di chuyển,khó chịu,đau khớp,cứng khớp
hạ đường huyết,tim đập nhanh,buồn nôn,nói lắp,lo lắng
thoái hóa đốt sống cổ,cứng cổ,vận động vùng cổ gặp khó khăn,mất cảm giác tay,đau cơ
viêm tai giữa,sốt nhẹ,đau tai,đau đầu,chảy dịch từ tai
giãn tĩnh mạch,ngứa chân,mỏi tay chân,đau khi đi lại nhiều,tê chân
viêm da dị ứng,nứt nẻ,mụn mủ,khô da,ngứa
chốc,phát ban,sưng đỏ quanh mũi,mệt mỏi,mụn mủ
suy giáp,chán ăn,đau khớp,da khô,khàn giọng
cường giáp,tim đập nhanh,yếu cơ,sút cân,lo lắng
viêm gan do rượu,sút cân,buồn nôn,mệt mỏi,vàng mắt
viêm gan B,buồn nôn,vàng da,mệt mỏi,sốt
viêm gan C,nước tiểu sẫm màu,vàng da,đau cơ,sốt nhẹ
say nắng,buồn nôn,tim đập nhanh,đổ mồ hôi,chóng mặt
đau vai gáy,mỏi tay,tê tay,đau cổ,đau khi di chuyển
chàm,mẩn đỏ,ngứa,da khô,nổi mụt trên cơ thể
viêm nướu,nướu đỏ,có mủ màu trắng,chảy máu ở chân răng,đau khi nhai
sâu răng,đau răng,sưng nướu,hơi thở có mùi,đau khi nhai
ruột kích thích,rối loạn giấc ngủ,đau bụng,táo bón,cảm giác đi tiêu không hết phân
đau mắt đỏ,chảy nước mắt,đau mắt,sưng mắt,ngứa mắt
suy thận,đau lưng,phát ban,hơi thở có mùi,phù nề
thiếu máu lên não,mờ mắt,chóng mặt,đau lưng,mất ngủ
viêm kết mạc,hắt hơi,ngứa mắt,chảy nước mắt,sốt
tăng nhãn áp,đỏ mắt,đau mắt,mờ mắt,sợ ánh sáng
ngộ độc thực phẩm,buồn nôn,đau bụng,da tím tái,co giật
viêm xoang,nghẹt mũi,mất khứu giác,chảy nước mũi,đau răng hàm trên
bướu cổ,khàn giọng,sưng cổ,vướng ở cổ,khó nuốt
sỏi thận,nước tiểu có mùi hôi,buồn nôn,ớn lạnh,sốt
gout (gút),sưng khớp,khó cử động,đau khớp,đau khi di chuyển
thoát vị đĩa đệm,đau lan rộng,đau khi di chuyển,yếu cơ,mất cảm giác
viêm ống tai ngoài,ngứa tai,ù tai,đau tai,chảy dịch từ tai
herpes ở môi,sưng hạch bạch huyết,nổi mụt ở miệng,sốt,đau họng
thoái hóa khớp,có tiếng khi di chuyển,teo cơ,cứng khớp,sưng tấy
sùi mào gà,chảy máu khi quan hệ,ngứa bộ phận sinh dục,có mụt ở bộ phận sinh dục,nốt sùi ở bộ phận sinh dục
uốn ván,cứng hàm,khó nuốt,cứng khớp,đổ mồ hôi
viêm thanh quản,ho,đau họng,sốt nhẹ,mất giọng
rối loạn tuần hoàn não,mất ngủ,buồn nôn,mỏi tay chân,cáu gắt
suy gan,đau bụng trên bên phải,buồn ngủ,vàng da,buồn nôn
quai bị,sưng mặt,đau nhức,mệt mỏi,chán ăn
vàng da,lòng bàn chân có màu vàng,vàng mắt,da tím tái,lòng bàn tay có màu vàng
thoái hóa đốt sống lưng,có tiếng khi xoay người,mất thăng bằng,yếu cơ,đau gáy
nấm da,ngứa,phát ban,nổi hạch,lang ben
trào ngược dạ dày,đau ngực,ho,đau dạ dày,ợ chua
viêm mũi dị ứng,nghẹt mũi,ngứa mũi,sổ mũi,chảy nước mắt
viêm loét dạ dày tá tràng,đau bụng,chán ăn,buồn nôn,đầy hơi
tiểu đường,giảm thị lực,sút cân,khô miệng,đi tiểu nhiều
viêm dạ dày,trương bụng,buồn nôn,tiêu chảy,táo bón
hen phế quản,đau ngực,ho có đờm,thở khò khè,rối loạn giấc ngủ
cao huyết áp,mất thăng bằng,khó thở,thiếu tập trung,chảy máu cam
sốt rét,ớn lạnh,tiêu chảy,mệt mỏi,đau cơ
thủy đậu,nổi mụt trên cơ thể,chán ăn,đau đầu,mệt mỏi
sốt xuất huyết,đau cơ,buồn nôn,phát ban,đau trong hốc mắt
viêm gan A hoặc viêm gan D,nước tiểu sẫm màu,ngứa,đau bụng,vàng mắt
lao,ho,sốt nhẹ,đổ mồ hôi ban đêm,khó thở
cảm lạnh,chảy nước mũi,nghẹt mũi,ho,đau đầu
viêm phổi,ho,sốt,đau ngực,khó thở
trĩ,đi đại tiện có máu,ngứa vùng hậu môn,đi đại tiện có máu,sưng vùng hậu môn
covid-19,đau đầu,khó thở,mệt mỏi,sốt
vảy nến,vảy bạc,phát ban,mụn mủ,sưng khớp
nhiễm trùng đường tiết niệu,tiểu rát,tiểu rát,nước tiểu sẫm màu,tiểu buốt
chóng mặt kịch phát lành tính,nhìn mờ,chóng mặt,đứng không vững,buồn nôn
viêm khớp,đau khi di chuyển,khó chịu,đau khớp,cứng khớp
hạ đường huyết,tim đập nhanh,buồn nôn,nói lắp,lo lắng
thoái hóa đốt sống cổ,cứng cổ,vận động vùng cổ gặp khó khăn,mất cảm giác tay,đau cơ
viêm tai giữa,sốt nhẹ,đau tai,đau đầu,chảy dịch từ tai
giãn tĩnh mạch,ngứa chân,mỏi tay chân,đau khi đi lại nhiều,tê chân
viêm da dị ứng,nứt nẻ,mụn mủ,khô da,ngứa
chốc,phát ban,sưng đỏ quanh mũi,mệt mỏi,mụn mủ
suy giáp,chán ăn,đau khớp,da khô,khàn giọng
cường giáp,tim đập nhanh,yếu cơ,sút cân,lo lắng
viêm gan do rượu,sút cân,buồn nôn,mệt mỏi,vàng mắt
viêm gan B,buồn nôn,vàng da,mệt mỏi,sốt
viêm gan C,nước tiểu sẫm màu,vàng da,đau cơ,sốt nhẹ
say nắng,buồn nôn,tim đập nhanh,đổ mồ hôi,chóng mặt
đau vai gáy,mỏi tay,tê tay,đau cổ,đau khi di chuyển
chàm,mẩn đỏ,ngứa,da khô,nổi mụt trên cơ thể
viêm nướu,nướu đỏ,có mủ màu trắng,chảy máu ở chân răng,đau khi nhai
sâu răng,đau răng,sưng nướu,hơi thở có mùi,đau khi nhai
ruột kích thích,rối loạn giấc ngủ,đau bụng,táo bón,cảm giác đi tiêu không hết phân
đau mắt đỏ,chảy nước mắt,đau mắt,sưng mắt,ngứa mắt
suy thận,đau lưng,phát ban,hơi thở có mùi,phù nề
thiếu máu lên não,mờ mắt,chóng mặt,đau lưng,mất ngủ
viêm kết mạc,hắt hơi,ngứa mắt,chảy nước mắt,sốt
tăng nhãn áp,đỏ mắt,đau mắt,mờ mắt,sợ ánh sáng
ngộ độc thực phẩm,buồn nôn,đau bụng,da tím tái,co giật
viêm xoang,nghẹt mũi,mất khứu giác,chảy nước mũi,đau răng hàm trên
bướu cổ,khàn giọng,sưng cổ,vướng ở cổ,khó nuốt
sỏi thận,nước tiểu có mùi hôi,buồn nôn,ớn lạnh,sốt
gout (gút),sưng khớp,khó cử động,đau khớp,đau khi di chuyển
thoát vị đĩa đệm,đau lan rộng,đau khi di chuyển,yếu cơ,mất cảm giác
viêm ống tai ngoài,ngứa tai,ù tai,đau tai,chảy dịch từ tai
herpes ở môi,sưng hạch bạch huyết,nổi mụt ở miệng,sốt,đau họng
thoái hóa khớp,có tiếng khi di chuyển,teo cơ,cứng khớp,sưng tấy
sùi mào gà,chảy máu khi quan hệ,ngứa bộ phận sinh dục,có mụt ở bộ phận sinh dục,nốt sùi ở bộ phận sinh dục
uốn ván,cứng hàm,khó nuốt,cứng khớp,đổ mồ hôi
viêm thanh quản,ho,đau họng,sốt nhẹ,mất giọng
rối loạn tuần hoàn não,mất ngủ,buồn nôn,mỏi tay chân,cáu gắt
suy gan,đau bụng trên bên phải,buồn ngủ,vàng da,buồn nôn
quai bị,sưng mặt,đau nhức,mệt mỏi,chán ăn
vàng da,lòng bàn chân có màu vàng,vàng mắt,da tím tái,lòng bàn tay có màu vàng
thoái hóa đốt sống lưng,có tiếng khi xoay người,mất thăng bằng,yếu cơ,đau gáy
nấm da,ngứa,phát ban,nổi hạch,lang ben
trào ngược dạ dày,đau ngực,ho,đau dạ dày,ợ chua
viêm mũi dị ứng,nghẹt mũi,ngứa mũi,sổ mũi,chảy nước mắt
viêm loét dạ dày tá tràng,đau bụng,chán ăn,buồn nôn,đầy hơi
tiểu đường,giảm thị lực,sút cân,khô miệng,đi tiểu nhiều
viêm dạ dày,trương bụng,buồn nôn,tiêu chảy,táo bón
hen phế quản,đau ngực,ho có đờm,thở khò khè,rối loạn giấc ngủ
cao huyết áp,mất thăng bằng,khó thở,thiếu tập trung,chảy máu cam
sốt rét,ớn lạnh,tiêu chảy,mệt mỏi,đau cơ
thủy đậu,nổi mụt trên cơ thể,chán ăn,đau đầu,mệt mỏi
sốt xuất huyết,đau cơ,buồn nôn,phát ban,đau trong hốc mắt
viêm gan A hoặc viêm gan D,nước tiểu sẫm màu,ngứa,đau bụng,vàng mắt
lao,ho,sốt nhẹ,đổ mồ hôi ban đêm,khó thở
cảm lạnh,chảy nước mũi,nghẹt mũi,ho,đau đầu
viêm phổi,ho,sốt,đau ngực,khó thở
trĩ,đi đại tiện có máu,ngứa vùng hậu môn,đi đại tiện có máu,sưng vùng hậu môn
covid-19,đau đầu,khó thở,mệt mỏi,sốt
vảy nến,vảy bạc,phát ban,mụn mủ,sưng khớp
nhiễm trùng đường tiết niệu,tiểu rát,tiểu rát,nước tiểu sẫm màu,tiểu buốt
chóng mặt kịch phát lành tính,nhìn mờ,chóng mặt,đứng không vững,buồn nôn
viêm khớp,đau khi di chuyển,khó chịu,đau khớp,cứng khớp
hạ đường huyết,tim đập nhanh,buồn nôn,nói lắp,lo lắng
thoái hóa đốt sống cổ,cứng cổ,vận động vùng cổ gặp khó khăn,mất cảm giác tay,đau cơ
viêm tai giữa,sốt nhẹ,đau tai,đau đầu,chảy dịch từ tai
giãn tĩnh mạch,ngứa chân,mỏi tay chân,đau khi đi lại nhiều,tê chân
viêm da dị ứng,nứt nẻ,mụn mủ,khô da,ngứa
chốc,phát ban,sưng đỏ quanh mũi,mệt mỏi,mụn mủ
suy giáp,chán ăn,đau khớp,da khô,khàn giọng
cường giáp,tim đập nhanh,yếu cơ,sút cân,lo lắng
viêm gan do rượu,sút cân,buồn nôn,mệt mỏi,vàng mắt
viêm gan B,buồn nôn,vàng da,mệt mỏi,sốt
viêm gan C,nước tiểu sẫm màu,vàng da,đau cơ,sốt nhẹ
say nắng,buồn nôn,tim đập nhanh,đổ mồ hôi,chóng mặt
đau vai gáy,mỏi tay,tê tay,đau cổ,đau khi di chuyển
chàm,mẩn đỏ,ngứa,da khô,nổi mụt trên cơ thể
viêm nướu,nướu đỏ,có mủ màu trắng,chảy máu ở chân răng,đau khi nhai
sâu răng,đau răng,sưng nướu,hơi thở có mùi,đau khi nhai
ruột kích thích,rối loạn giấc ngủ,đau bụng,táo bón,cảm giác đi tiêu không hết phân
đau mắt đỏ,chảy nước mắt,đau mắt,sưng mắt,ngứa mắt
suy thận,đau lưng,phát ban,hơi thở có mùi,phù nề
thiếu máu lên não,mờ mắt,chóng mặt,đau lưng,mất ngủ
viêm kết mạc,hắt hơi,ngứa mắt,chảy nước mắt,sốt
tăng nhãn áp,đỏ mắt,đau mắt,mờ mắt,sợ ánh sáng
ngộ độc thực phẩm,buồn nôn,đau bụng,da tím tái,co giật
viêm xoang,nghẹt mũi,mất khứu giác,chảy nước mũi,đau răng hàm trên
bướu cổ,khàn giọng,sưng cổ,vướng ở cổ,khó nuốt
sỏi thận,nước tiểu có mùi hôi,buồn nôn,ớn lạnh,sốt
gout (gút),sưng khớp,khó cử động,đau khớp,đau khi di chuyển
thoát vị đĩa đệm,đau lan rộng,đau khi di chuyển,yếu cơ,mất cảm giác
viêm ống tai ngoài,ngứa tai,ù tai,đau tai,chảy dịch từ tai
herpes ở môi,sưng hạch bạch huyết,nổi mụt ở miệng,sốt,đau họng
thoái hóa khớp,có tiếng khi di chuyển,teo cơ,cứng khớp,sưng tấy
sùi mào gà,chảy máu khi quan hệ,ngứa bộ phận sinh dục,có mụt ở bộ phận sinh dục,nốt sùi ở bộ phận sinh dục
uốn ván,cứng hàm,khó nuốt,cứng khớp,đổ mồ hôi
viêm thanh quản,ho,đau họng,sốt nhẹ,mất giọng
rối loạn tuần hoàn não,mất ngủ,buồn nôn,mỏi tay chân,cáu gắt
suy gan,đau bụng trên bên phải,buồn ngủ,vàng da,buồn nôn
quai bị,sưng mặt,đau nhức,mệt mỏi,chán ăn
vàng da,lòng bàn chân có màu vàng,vàng mắt,da tím tái,lòng bàn tay có màu vàng
thoái hóa đốt sống lưng,có tiếng khi xoay người,mất thăng bằng,yếu cơ,đau gáy
nấm da,ngứa,phát ban,nổi hạch,lang ben
trào ngược dạ dày,đau ngực,ho,đau dạ dày,ợ chua
viêm mũi dị ứng,nghẹt mũi,ngứa mũi,sổ mũi,chảy nước mắt
viêm loét dạ dày tá tràng,đau bụng,chán ăn,buồn nôn,đầy hơi
tiểu đường,giảm thị lực,sút cân,khô miệng,đi tiểu nhiều
viêm dạ dày,trương bụng,buồn nôn,tiêu chảy,táo bón
hen phế quản,đau ngực,ho có đờm,thở khò khè,rối loạn giấc ngủ
cao huyết áp,mất thăng bằng,khó thở,thiếu tập trung,chảy máu cam
sốt rét,ớn lạnh,tiêu chảy,mệt mỏi,đau cơ
thủy đậu,nổi mụt trên cơ thể,chán ăn,đau đầu,mệt mỏi
sốt xuất huyết,đau cơ,buồn nôn,phát ban,đau trong hốc mắt
viêm gan A hoặc viêm gan D,nước tiểu sẫm màu,ngứa,đau bụng,vàng mắt
lao,ho,sốt nhẹ,đổ mồ hôi ban đêm,khó thở
cảm lạnh,chảy nước mũi,nghẹt mũi,ho,đau đầu
viêm phổi,ho,sốt,đau ngực,khó thở
trĩ,đi đại tiện có máu,ngứa vùng hậu môn,đi đại tiện có máu,sưng vùng hậu môn
covid-19,đau đầu,khó thở,mệt mỏi,sốt
vảy nến,vảy bạc,phát ban,mụn mủ,sưng khớp
nhiễm trùng đường tiết niệu,tiểu rát,tiểu rát,nước tiểu sẫm màu,tiểu buốt
chóng mặt kịch phát lành tính,nhìn mờ,chóng mặt,đứng không vững,buồn nôn
viêm khớp,đau khi di chuyển,khó chịu,đau khớp,cứng khớp
hạ đường huyết,tim đập nhanh,buồn nôn,nói lắp,lo lắng
thoái hóa đốt sống cổ,cứng cổ,vận động vùng cổ gặp khó khăn,mất cảm giác tay,đau cơ
viêm tai giữa,sốt nhẹ,đau tai,đau đầu,chảy dịch từ tai
giãn tĩnh mạch,ngứa chân,mỏi tay chân,đau khi đi lại nhiều,tê chân
viêm da dị ứng,nứt nẻ,mụn mủ,khô da,ngứa
chốc,phát ban,sưng đỏ quanh mũi,mệt mỏi,mụn mủ
suy giáp,chán ăn,đau khớp,da khô,khàn giọng
cường giáp,tim đập nhanh,yếu cơ,sút cân,lo lắng
viêm gan do rượu,sút cân,buồn nôn,mệt mỏi,vàng mắt
viêm gan B,buồn nôn,vàng da,mệt mỏi,sốt
viêm gan C,nước tiểu sẫm màu,vàng da,đau cơ,sốt nhẹ
say nắng,buồn nôn,tim đập nhanh,đổ mồ hôi,chóng mặt
đau vai gáy,mỏi tay,tê tay,đau cổ,đau khi di chuyển
chàm,mẩn đỏ,ngứa,da khô,nổi mụt trên cơ thể
viêm nướu,nướu đỏ,có mủ màu trắng,chảy máu ở chân răng,đau khi nhai
sâu răng,đau răng,sưng nướu,hơi thở có mùi,đau khi nhai
ruột kích thích,rối loạn giấc ngủ,đau bụng,táo bón,cảm giác đi tiêu không hết phân
đau mắt đỏ,chảy nước mắt,đau mắt,sưng mắt,ngứa mắt
suy thận,đau lưng,phát ban,hơi thở có mùi,phù nề
thiếu máu lên não,mờ mắt,chóng mặt,đau lưng,mất ngủ
viêm kết mạc,hắt hơi,ngứa mắt,chảy nước mắt,sốt
tăng nhãn áp,đỏ mắt,đau mắt,mờ mắt,sợ ánh sáng
ngộ độc thực phẩm,buồn nôn,đau bụng,da tím tái,co giật
viêm xoang,nghẹt mũi,mất khứu giác,chảy nước mũi,đau răng hàm trên
bướu cổ,khàn giọng,sưng cổ,vướng ở cổ,khó nuốt
sỏi thận,nước tiểu có mùi hôi,buồn nôn,ớn lạnh,sốt
gout (gút),sưng khớp,khó cử động,đau khớp,đau khi di chuyển
thoát vị đĩa đệm,đau lan rộng,đau khi di chuyển,yếu cơ,mất cảm giác
viêm ống tai ngoài,ngứa tai,ù tai,đau tai,chảy dịch từ tai
herpes ở môi,sưng hạch bạch huyết,nổi mụt ở miệng,sốt,đau họng
thoái hóa khớp,có tiếng khi di chuyển,teo cơ,cứng khớp,sưng tấy
sùi mào gà,chảy máu khi quan hệ,ngứa bộ phận sinh dục,có mụt ở bộ phận sinh dục,nốt sùi ở bộ phận sinh dục
uốn ván,cứng hàm,khó nuốt,cứng khớp,đổ mồ hôi
viêm thanh quản,ho,đau họng,sốt nhẹ,mất giọng
rối loạn tuần hoàn não,mất ngủ,buồn nôn,mỏi tay chân,cáu gắt
suy gan,đau bụng trên bên phải,buồn ngủ,vàng da,buồn nôn
quai bị,sưng mặt,đau nhức,mệt mỏi,chán ăn
vàng da,lòng bàn chân có màu vàng,vàng mắt,da tím tái,lòng bàn tay có màu vàng
thoái hóa đốt sống lưng,có tiếng khi xoay người,mất thăng bằng,yếu cơ,đau gáy
nấm da,ngứa,phát ban,nổi hạch,lang ben
trào ngược dạ dày,đau ngực,ho,đau dạ dày,ợ chua
viêm mũi dị ứng,nghẹt mũi,ngứa mũi,sổ mũi,chảy nước mắt
viêm loét dạ dày tá tràng,đau bụng,chán ăn,buồn nôn,đầy hơi
tiểu đường,giảm thị lực,sút cân,khô miệng,đi tiểu nhiều
viêm dạ dày,trương bụng,buồn nôn,tiêu chảy,táo bón
hen phế quản,đau ngực,ho có đờm,thở khò khè,rối loạn giấc ngủ
cao huyết áp,mất thăng bằng,khó thở,thiếu tập trung,chảy máu cam
sốt rét,ớn lạnh,tiêu chảy,mệt mỏi,đau cơ
thủy đậu,nổi mụt trên cơ thể,chán ăn,đau đầu,mệt mỏi
sốt xuất huyết,đau cơ,buồn nôn,phát ban,đau trong hốc mắt
viêm gan A hoặc viêm gan D,nước tiểu sẫm màu,ngứa,đau bụng,vàng mắt
lao,ho,sốt nhẹ,đổ mồ hôi ban đêm,khó thở
cảm lạnh,chảy nước mũi,nghẹt mũi,ho,đau đầu
viêm phổi,ho,sốt,đau ngực,khó thở
trĩ,đi đại tiện có máu,ngứa vùng hậu môn,đi đại tiện có máu,sưng vùng hậu môn
covid-19,đau đầu,khó thở,mệt mỏi,sốt
vảy nến,vảy bạc,phát ban,mụn mủ,sưng khớp
nhiễm trùng đường tiết niệu,tiểu rát,tiểu rát,nước tiểu sẫm màu,tiểu buốt
chóng mặt kịch phát lành tính,nhìn mờ,chóng mặt,đứng không vững,buồn nôn
viêm khớp,đau khi di chuyển,khó chịu,đau khớp,cứng khớp
hạ đường huyết,tim đập nhanh,buồn nôn,nói lắp,lo lắng
thoái hóa đốt sống cổ,cứng cổ,vận động vùng cổ gặp khó khăn,mất cảm giác tay,đau cơ
viêm tai giữa,sốt nhẹ,đau tai,đau đầu,chảy dịch từ tai
giãn tĩnh mạch,ngứa chân,mỏi tay chân,đau khi đi lại nhiều,tê chân
viêm da dị ứng,nứt nẻ,mụn mủ,khô da,ngứa
chốc,phát ban,sưng đỏ quanh mũi,mệt mỏi,mụn mủ
suy giáp,chán ăn,đau khớp,da khô,khàn giọng
cường giáp,tim đập nhanh,yếu cơ,sút cân,lo lắng
viêm gan do rượu,sút cân,buồn nôn,mệt mỏi,vàng mắt
viêm gan B,buồn nôn,vàng da,mệt mỏi,sốt
viêm gan C,nước tiểu sẫm màu,vàng da,đau cơ,sốt nhẹ
say nắng,buồn nôn,tim đập nhanh,đổ mồ hôi,chóng mặt
đau vai gáy,mỏi tay,tê tay,đau cổ,đau khi di chuyển
chàm,mẩn đỏ,ngứa,da khô,nổi mụt trên cơ thể
viêm nướu,nướu đỏ,có mủ màu trắng,chảy máu ở chân răng,đau khi nhai
sâu răng,đau răng,sưng nướu,hơi thở có mùi,đau khi nhai
ruột kích thích,rối loạn giấc ngủ,đau bụng,táo bón,cảm giác đi tiêu không hết phân
đau mắt đỏ,chảy nước mắt,đau mắt,sưng mắt,ngứa mắt
suy thận,đau lưng,phát ban,hơi thở có mùi,phù nề
thiếu máu lên não,mờ mắt,chóng mặt,đau lưng,mất ngủ
viêm kết mạc,hắt hơi,ngứa mắt,chảy nước mắt,sốt
tăng nhãn áp,đỏ mắt,đau mắt,mờ mắt,sợ ánh sáng
ngộ độc thực phẩm,buồn nôn,đau bụng,da tím tái,co giật
viêm xoang,nghẹt mũi,mất khứu giác,chảy nước mũi,đau răng hàm trên
bướu cổ,khàn giọng,sưng cổ,vướng ở cổ,khó nuốt
sỏi thận,nước tiểu có mùi hôi,buồn nôn,ớn lạnh,sốt
gout (gút),sưng khớp,khó cử động,đau khớp,đau khi di chuyển
thoát vị đĩa đệm,đau lan rộng,đau khi di chuyển,yếu cơ,mất cảm giác
viêm ống tai ngoài,ngứa tai,ù tai,đau tai,chảy dịch từ tai
herpes ở môi,sưng hạch bạch huyết,nổi mụt ở miệng,sốt,đau họng
